dataset,method,classifier,rep,penalty_margin,penalty_d
cleveland,l1_logistic,rf,7,0.0526919198053662,0.028762093003078
cleveland,l1_logistic,rf,8,0.0664021291834663,-0.0105186195190284
cleveland,l1_logistic,rf,9,0.053349611887141,0.0113281167174722
cleveland,l1_logistic,rf,10,0.0443433015918967,-0.0025782689097488
cleveland,l1_logistic,rf,11,0.085287661958794,0.0175463959939829
cleveland,l1_logistic,rf,12,0.039822367301033,-0.0187352348950792
cleveland,l1_logistic,rf,13,0.0826678705257107,0.0177993559881679
cleveland,l1_logistic,rf,14,0.0557435539025818,0.0121884164582844
cleveland,l1_logistic,rf,15,0.0397812460618034,0.0005706322889158
cleveland,l1_logistic,rf,16,0.060129930846224,0.0052969006547403
cleveland,l1_logistic,rf,17,0.0602986377926299,0.0058250911288909
cleveland,l1_logistic,rf,18,0.0501941067224143,0.0030323351313601
cleveland,l1_logistic,rf,19,0.0629175512266354,0.0279082390785146
cleveland,l1_logistic,rf,20,0.0785301219188594,-0.0021235616503553
cleveland,l1_logistic,rf,21,0.0446804094583435,-0.01298659470951
cleveland,l1_logistic,rf,22,0.0329496799482449,0.0073069139206904
cleveland,l1_logistic,rf,23,0.0853327011231316,7.665722073495196e-05
cleveland,l1_logistic,rf,24,0.101021713881418,0.0245986961746682
cleveland,l1_logistic,rf,25,0.0472313844063519,-0.00539954649439
cleveland,l1_logistic,rf,26,0.018965219241742,0.0008132897838522
cleveland,l1_logistic,rf,27,0.0820984325075163,0.0237611461489926
cleveland,l1_logistic,rf,28,0.0467341189957178,0.0237898999295572
cleveland,l1_logistic,rf,29,0.0574440998144239,-0.0057807452006196
cleveland,l1_logistic,logistic,0,0.0449493127467481,0.0055642761011317
cleveland,l1_logistic,logistic,1,0.0409582637519535,0.0193633933051467
cleveland,l1_logistic,logistic,2,0.0489659194773183,-0.0017482077303655
cleveland,l1_logistic,logistic,3,0.0486392510951255,0.0191280632076618
cleveland,l1_logistic,logistic,4,0.0425591808706307,0.014353018698298
cleveland,l1_logistic,logistic,5,0.0421208472518279,0.0103470090005317
cleveland,l1_logistic,logistic,6,0.0448133873842497,0.0173542208748625
cleveland,l1_logistic,logistic,7,0.0560390388663001,0.0041997879120991
cleveland,l1_logistic,logistic,8,0.0484021647536437,0.0031465835406864
cleveland,l1_logistic,logistic,9,0.0256615991930168,0.0150190183138575
cleveland,l1_logistic,logistic,10,0.0398182843982169,0.0231518583450166
cleveland,l1_logistic,logistic,11,0.0427480367663391,-0.0004370173914762
cleveland,l1_logistic,logistic,12,0.0447636551231531,0.0243800804349651
cleveland,l1_logistic,logistic,13,0.0431124740320517,0.0162966652666484
cleveland,l1_logistic,logistic,14,0.0361376574006216,-0.0003828486591698
cleveland,l1_logistic,logistic,15,0.0385464810485575,0.0099238410287508
cleveland,l1_logistic,logistic,16,0.0426113804007398,0.0109190915089355
cleveland,l1_logistic,logistic,17,0.0392648143027879,0.0076316297795927
cleveland,l1_logistic,logistic,18,0.0340400463218783,0.0031058393031557
cleveland,l1_logistic,logistic,19,0.0371437054549178,0.0079473470546084
cleveland,l1_logistic,logistic,20,0.0467700647859945,0.0052043012437723
cleveland,l1_logistic,logistic,21,0.0316407490734824,0.0109821009550365
cleveland,l1_logistic,logistic,22,0.0438247693020497,0.0099870741907822
cleveland,l1_logistic,logistic,23,0.0496338689131428,0.0302846841273494
cleveland,l1_logistic,logistic,24,0.0477159250665777,0.0059479833761377
cleveland,l1_logistic,logistic,25,0.0398752876502074,0.0014832513676112
cleveland,l1_logistic,logistic,26,0.0422983575937365,0.0132582731216651
cleveland,l1_logistic,logistic,27,0.040037513475394,0.0140233357492295
cleveland,l1_logistic,logistic,28,0.038574050119294,0.0020273508844461
cleveland,l1_logistic,logistic,29,0.0453584495916017,0.00378333017393
pima,mutual_info,rf,0,0.0514606192533905,0.0080578122136151
pima,mutual_info,rf,1,0.0437264587851745,0.0895283792078132
pima,mutual_info,rf,2,0.0423569880507682,0.0245773611366441
pima,mutual_info,rf,3,0.0508015752246573,0.0851046069968335
pima,mutual_info,rf,4,0.0511296576324937,0.0622025157442899
pima,mutual_info,rf,5,0.0474021728916721,0.0373688418834568
pima,mutual_info,rf,6,0.0594674964013945,0.0782132812486761
pima,mutual_info,rf,7,0.0694212021227741,0.0590002851213538
pima,mutual_info,rf,8,0.0653141792325128,0.0642261783934003
pima,mutual_info,rf,9,0.0502815393081667,0.0678504845843366
pima,mutual_info,rf,10,0.0671628931099307,0.0631510816374746
